"id","pfd_period_no","wk","prd_name","prd_series","qty_fc","update_datetime"
55927346,"202340",WK2352,RGP-096L-0D,RGP,224960,2023-10-09 10:43:41.805
55946972,"202340",WK2401,RGP-096L-0D,RGP,292448,2023-10-09 10:43:41.805
55943683,"202340",WK2402,RGP-096L-0D,RGP,196840,2023-10-09 10:43:41.805
55940402,"202340",WK2403,RGP-096L-0D,RGP,168720,2023-10-09 10:43:41.805
55946973,"202340",WK2404,RGP-096L-0D,RGP,84360,2023-10-09 10:43:41.805
55946974,"202340",WK2405,RGP-096L-0D,RGP,0,2023-10-09 10:43:41.805
55943684,"202340",WK2406,RGP-096L-0D,RGP,179968,2023-10-09 10:43:41.805
55927347,"202340",WK2407,RGP-096L-0D,RGP,163096,2023-10-09 10:43:41.805
156024955,"202341",WK2341,RGP-096L-0D,RGP,400000,2023-10-17 10:49:25.356
120514382,"202341",WK2342,RGP-096L-0D,RGP,726317,2023-10-17 10:49:25.356
120527412,"202341",WK2343,RGP-096L-0D,RGP,337440,2023-10-17 10:49:25.356
120524178,"202341",WK2344,RGP-096L-0D,RGP,337440,2023-10-17 10:49:25.356
120520814,"202341",WK2345,RGP-096L-0D,RGP,337440,2023-10-17 10:49:25.356
120520815,"202341",WK2346,RGP-096L-0D,RGP,337440,2023-10-17 10:49:25.356
120517588,"202341",WK2347,RGP-096L-0D,RGP,337440,2023-10-17 10:49:25.356
120517589,"202341",WK2348,RGP-096L-0D,RGP,337440,2023-10-17 10:49:25.356
120520816,"202341",WK2349,RGP-096L-0D,RGP,337440,2023-10-17 10:49:25.356
120533922,"202341",WK2350,RGP-096L-0D,RGP,140600,2023-10-17 10:49:25.356
120517590,"202341",WK2351,RGP-096L-0D,RGP,56240,2023-10-17 10:49:25.356
120514383,"202341",WK2352,RGP-096L-0D,RGP,224960,2023-10-17 10:49:25.356
